"","Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Proximity_to_Industrial_Areas","Population_Density","Air.Quality"
"1059",34.5,60.8,37.1,47.4,28.7,9.1,2.04,3.4,484,"Poor"
"1061",36.4,58,18.3,23.6,30.5,13.7,1.49,5.1,363,"Moderate"
"1062",33.5,44.8,36.7,44.4,21,9.7,1.23,10.1,547,"Moderate"
"1063",34.9,66.8,8.4,20.7,32.8,11.8,1.21,8.2,623,"Moderate"
"1065",23.1,71,4.9,9.9,17.7,4.4,1.01,11.8,342,"Good"
"1066",29,39.7,8.9,16.2,26.2,4.2,0.97,15,250,"Good"
"1067",24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,"Good"
"1069",26.2,64.3,16.2,19.4,18.5,9,1.08,11.3,566,"Good"
"1071",24.4,44.8,4.1,7.4,23.7,4,0.91,11.9,241,"Good"
"1072",31.4,79.4,55.7,62.7,24.1,11.5,1.46,7.8,361,"Moderate"
"1073",26.7,72.4,4.2,16.3,18.9,11.7,1.45,12,527,"Moderate"
"1074",29.7,54,0.2,7.6,15.6,4.4,0.93,10.8,401,"Good"
"1077",24.9,66.8,7,11.8,24.5,8.9,0.93,10.2,388,"Good"
"1081",27.5,55.4,32.5,47,22.1,12.7,1.66,5.2,298,"Moderate"
"1083",39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,"Poor"
"1084",32.7,62.6,50.5,66.6,31.5,9.2,1.26,7.1,473,"Moderate"
"1085",36.3,84.9,5.3,14.1,33,16.5,1.9,5.3,718,"Poor"
"1086",36.3,70,58.7,71.9,42.1,12.1,2.37,3.9,539,"Poor"
"1088",36.4,82.7,19.7,36.6,39.2,15.9,1.72,9,782,"Poor"
"1089",24.6,58,7.5,19,25.7,3.4,1.57,12.7,617,"Moderate"
"1090",33.4,80.2,10.3,32.4,40.3,12.9,1.36,2.6,597,"Hazardous"
"1091",28.6,83.7,2.5,9.1,24.5,17.5,1.38,6.3,466,"Moderate"
"1092",18.8,46.7,0.6,5.5,13.4,7,1.01,11.5,484,"Good"
"1093",34.6,75.7,3.7,27.7,32.2,3.9,1.91,3.6,703,"Poor"
"1094",24.1,60.2,6.3,12.2,30.8,17.6,1.44,8,353,"Moderate"
"1095",33.6,57,3.4,8.2,17.6,3.5,1.12,13.1,297,"Good"
"1097",34.4,75.8,7.2,22.6,35.5,12,1.42,9.5,582,"Moderate"
"1098",26.7,61.9,11.8,16.3,13,6.3,0.85,16.7,361,"Good"
"1099",32.7,79.1,17.2,29.7,23.9,17,1.25,7.5,504,"Moderate"
"1100",31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,"Poor"
"1101",24.1,52.5,8.2,9.5,22.3,3.5,0.82,11.5,511,"Good"
"1102",25.2,88.9,22.3,44.2,34.1,17.5,2.33,4.4,578,"Poor"
"1103",43,96.5,14.6,38.1,39.7,17.3,2.17,5.4,591,"Hazardous"
"1104",39.9,112.1,37.2,54.7,50.8,21.8,2.58,2.8,556,"Hazardous"
"1105",28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639,"Poor"
"1106",30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,"Poor"
"1107",33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,"Moderate"
"1110",28.4,45.1,9.7,15.9,23,6.5,0.99,12.6,303,"Good"
"1111",44.6,94.9,78.9,98.3,40.6,23.9,2.44,4.3,670,"Hazardous"
"1112",30,85.3,9.2,18.2,25.8,5.2,1.42,10.2,503,"Moderate"
"1113",24.7,68.9,4.2,11.1,14.8,2.4,1.06,15.9,475,"Good"
"1114",28.6,71.9,4.1,17.7,44.3,4.1,1.48,4.9,780,"Poor"
"1115",32.3,87,54.7,69.9,56.1,26.6,2.5,2.7,801,"Hazardous"
"1117",38,70.6,100,117.5,32.4,7,2.4,4.1,477,"Poor"
"1118",31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689,"Poor"
"1120",21.6,77.6,5,10.6,17.6,2.5,0.94,11,591,"Good"
"1121",29.3,77.1,14.5,19.8,14,2.9,1.07,11.6,361,"Good"
"1123",26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387,"Good"
"1124",31.2,53.7,29.4,43.3,29.6,15.4,1.44,8.3,432,"Moderate"
"1125",33.7,88.9,10.2,19,23.8,-0.3,1.7,8.3,405,"Moderate"
"1126",35.5,109.1,77.1,94.8,34.2,21.5,2.42,2.5,870,"Hazardous"
"1128",33.8,88.3,7.6,13.1,26.7,5.6,1.44,5.9,654,"Moderate"
"1129",33.4,98.5,42.7,57.5,47.9,14.3,2.66,2.6,788,"Hazardous"
"1130",35.8,65.9,58.2,83.7,40.2,13.8,2.09,4.1,413,"Poor"
"1131",37,71.8,23.2,38.6,35.4,22.9,1.82,3.4,516,"Poor"
"1132",22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,"Good"
"1133",51.3,58,31.2,48.3,34.3,11.5,3.32,2.6,538,"Hazardous"
"1135",29.2,65.3,30.6,34.2,22.6,6,1.11,16,334,"Good"
"1137",37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,"Poor"
"1138",27.6,89.6,14.9,33.8,24.3,8.7,1.53,6.3,582,"Moderate"
"1139",26.8,58.5,39,46.5,27.4,8.6,1.59,5.5,466,"Moderate"
"1140",38.3,103.6,12.4,27.7,25.4,11,1.87,3.8,441,"Poor"
"1141",25.2,61.7,27.9,33.6,12.7,5.5,1.08,11.9,300,"Good"
"1143",24.6,42.6,12,15.2,17.2,5.6,1.2,10.9,516,"Good"
"1144",35.1,78.2,14,32.1,28.3,3,1.98,3.7,597,"Poor"
"1145",22.3,41.6,11.6,16.2,15.3,2.1,1.04,12.2,236,"Good"
"1146",30.6,76.2,1.5,15.1,32.6,29.2,1.87,8.4,715,"Poor"
"1147",23.8,65.2,9.9,14.2,14.6,4.9,0.97,10.7,331,"Good"
"1148",35.5,71.8,7.4,27.5,33.8,22.6,1.91,3.9,676,"Poor"
"1150",34.3,84.1,12.2,21.4,17.4,13.6,1.29,5.9,626,"Moderate"
"1151",37,80.1,35.2,49.4,41.1,21.2,1.84,5.3,469,"Poor"
"1152",37.2,94.4,20.8,37.1,29.5,10.8,1.66,8.3,531,"Poor"
"1153",20,61.2,11.1,17.2,24.2,2.6,1.08,11.3,209,"Good"
"1154",24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387,"Good"
"1155",23.9,42.1,19.2,25.4,16.8,5.2,1.12,11.6,352,"Good"
"1156",41,60.7,26.9,56.7,38.4,13,2.25,3.5,673,"Poor"
"1157",22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,"Moderate"
"1158",40,90.4,5.4,24.6,36.4,15.3,1.85,4.8,561,"Poor"
"1159",28,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,"Good"
"1160",36.5,62,42.7,54.8,25.3,21.7,2.48,3.5,623,"Poor"
"1161",31.3,56.1,2.3,11.6,21.1,9,1.41,10.9,588,"Moderate"
"1162",30,67.1,2.2,7.8,39.2,17,2,5.2,793,"Poor"
"1163",27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,"Moderate"
"1164",31.6,81.1,18.7,30,31.6,12.3,1.45,5.5,664,"Moderate"
"1166",22.3,49.8,14.4,18.5,16.5,4.3,1.1,15.4,500,"Good"
"1168",48.9,62,12.2,35.7,45.4,22.7,2.27,2.7,865,"Hazardous"
"1169",37.9,71,5.6,21,49.8,34.5,3,5,537,"Hazardous"
"1170",28.1,64,11.7,13.8,15.4,3.4,0.93,11.5,373,"Good"
"1171",23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,"Good"
"1172",30.7,66.4,16.6,24.4,23.3,9.5,1.53,9.5,379,"Moderate"
"1173",30.4,90.1,4.9,20.7,45,23.5,2.29,3.6,681,"Hazardous"
"1174",38,77.7,49.8,65.9,42.7,17.2,2.02,6.2,750,"Hazardous"
"1175",34.1,74.6,27,47.6,22.4,27.2,2.57,3.5,732,"Poor"
"1176",32,75,2.5,12.8,32.3,4.3,1.39,5.6,546,"Moderate"
"1177",31.5,72.2,31.2,62,32.2,16.1,2.7,3.1,747,"Hazardous"
"1178",32,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454,"Poor"
"1179",27.3,61.6,0.6,2.3,14,4.2,0.87,19,465,"Good"
"1180",27.7,69.4,0.8,8.4,14.3,4.1,0.86,13.4,425,"Good"
"1181",24,65.5,3.6,9.1,25.2,6.7,0.97,14.1,387,"Good"
"1182",28.7,75.2,3.4,7.9,23.3,5,0.83,10.3,425,"Good"
"1184",31.2,71.9,56.5,74.2,29.9,11.8,2.14,4,602,"Poor"
"1185",34.3,94.8,12.6,30.7,52.7,17.5,2.02,4.5,934,"Hazardous"
"1186",37.3,85,9.6,23.9,31.2,16.2,2.22,4.9,592,"Poor"
"1187",32.4,76.4,22.2,30,23,10.2,1.47,7.6,331,"Moderate"
"1188",21.6,50.3,3,6.7,22.7,3.3,1,10.1,223,"Good"
"1189",22.1,73.9,4.6,14.5,32.4,22.2,2.1,6.8,492,"Poor"
"1190",23.3,80.6,8.6,11.2,17.2,6.7,1.02,10.9,511,"Good"
"1191",48.8,92,2.4,24.9,38.2,16.9,2.84,3.7,664,"Hazardous"
"1192",26.4,52.2,18,25.6,22.8,5.9,1.12,10.4,539,"Good"
"1193",28.7,41,5.9,10.7,19.7,8,1.01,11.6,387,"Good"
"1194",39.6,87.7,2.8,12.5,28.9,2.8,2.05,3.8,692,"Poor"
"1196",28.3,59.6,26.3,36.6,17.7,9.4,1.45,6,278,"Moderate"
"1197",29.7,88,3.9,13.9,36.8,10.3,1.7,6.9,457,"Moderate"
"1198",32.4,95.7,0.7,5.8,43,21.2,1.87,3.9,525,"Poor"
"1200",27.7,56.2,6.1,17.1,19.2,11.9,1.61,5.6,507,"Moderate"
"1201",23.1,58.3,3.2,7.3,12.9,5.9,1.03,11.9,295,"Good"
"1202",18,52.5,5.3,11.4,16.8,3.4,0.9,12.2,550,"Good"
"1205",20.3,67.1,8.6,12,10.7,3.3,0.97,10.3,286,"Good"
"1206",39.2,84.3,80.5,107.9,32.5,24.6,2.37,4.8,450,"Poor"
"1207",20.3,77.6,12.1,19.5,18,6.1,0.89,14.2,308,"Good"
"1208",32.2,69.4,1.5,14.1,24.3,12.5,1.89,5.7,481,"Moderate"
"1209",28.5,71,6.7,13.1,21.8,4,0.97,13.1,510,"Good"
"1210",25.4,76.7,10.3,19.4,22.7,10.5,1.19,7.8,609,"Moderate"
"1211",38.4,73.3,78.9,94.5,23.9,23,2.03,4.1,615,"Poor"
"1212",31.9,66.3,38.8,40,30.6,9.3,1.55,6.2,381,"Moderate"
"1213",44.2,79.7,4.9,23.6,34.4,18.1,1.76,4.1,724,"Poor"
"1214",44.4,70,7.1,19.5,23.3,11.6,1.71,5.1,762,"Poor"
"1215",28.8,49,0.4,9.3,35.2,7.3,1.43,5.4,553,"Moderate"
"1216",53.1,57.3,72.3,84.6,45,6.4,1.95,3.2,857,"Hazardous"
"1217",32.4,57.8,18,29.1,26.1,9.8,1.71,7.4,299,"Moderate"
"1218",25.1,54.5,13.9,16.1,21.2,6.5,1.02,10.4,300,"Good"
"1219",23.8,42.1,2.5,7.3,15.1,3.8,1.12,12.8,529,"Good"
"1220",26.3,91.1,142.3,157,30.5,6.5,1.18,7.1,480,"Moderate"
"1221",38.9,83.7,26.5,48.9,44,14.6,1.83,3.8,645,"Poor"
"1222",32.2,55.6,9.9,20,25.2,14.1,1.75,6.1,516,"Moderate"
"1223",33.9,63.1,2.2,11.7,21.1,17.9,2.55,8.9,680,"Poor"
"1224",32.2,68.5,12,23.4,26.2,9.3,1.52,6.1,370,"Moderate"
"1225",27.2,60.5,1.3,4.7,22.7,3.7,0.95,16.1,241,"Good"
"1226",31.2,51.4,28.1,41.1,15.6,12.1,1.44,5.7,386,"Moderate"
"1227",28.3,56.4,22.1,30.3,28,0.6,1.48,8.2,331,"Moderate"
"1228",23.9,66.7,4.6,7.9,15.4,7.1,0.95,12.4,362,"Good"
"1229",33.8,80.4,17.5,32.8,21.1,12.3,1.51,5,361,"Moderate"
"1232",43,83.1,58.2,80.2,34.7,9.1,1.88,6,375,"Poor"
"1236",29.5,79.8,12.8,29.8,33.2,13.3,1.1,5.9,389,"Moderate"
"1237",27.7,60.2,0.4,5.7,25.3,6.2,1.05,12.9,218,"Good"
"1238",26.8,98.6,0.9,21.6,34.8,12.9,2,6.6,712,"Poor"
"1239",30.1,75.1,20.5,33.4,28.2,5.4,1.44,6.2,648,"Moderate"
"1240",22.3,65.7,1,5.7,26.8,3.5,0.91,13.3,282,"Good"
"1242",35.4,75,10,18.8,24,13.6,1.5,6.2,390,"Moderate"
"1243",36,75.3,43.4,59.5,35.1,22.1,1.97,3.6,468,"Poor"
"1244",27.1,74.1,4.7,8.7,25.3,5.9,1,13.5,555,"Good"
"1246",23.2,69.7,5.8,14.1,24.6,3.5,0.97,12.3,579,"Good"
"1247",34.9,63,59.7,69.2,29.5,8.2,1.07,5.2,568,"Moderate"
"1248",44.8,97.8,35.2,58,38.3,29.6,2.8,6.3,816,"Hazardous"
"1249",41.3,90.6,70.6,88.5,45,30.2,2.93,6.8,902,"Hazardous"
"1250",33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591,"Poor"
"1251",27.7,83.6,3.8,19.9,32.9,17.8,2.09,5.3,632,"Poor"
"1252",38.6,111.4,9.9,20,36.3,22.5,1.74,7.5,591,"Poor"
"1253",24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493,"Moderate"
"1254",26.8,60.2,4.4,10.1,25.7,4.5,1.29,12.6,234,"Good"
"1255",33.8,66.1,55.5,79.2,35.2,18.6,2.06,4.5,636,"Poor"
"1257",30.3,69.4,41.8,51.2,22.5,5.8,1.57,6.1,434,"Moderate"
"1259",24.8,39.8,58.4,68.2,26.5,3.7,0.93,16.5,397,"Good"
"1260",26.8,83,53.4,69,17.6,15.2,1.82,7.5,668,"Moderate"
"1262",33.4,52.7,53.5,63.4,26.5,10,1.32,12.4,329,"Moderate"
"1263",31.6,100.3,6.4,21.2,43.5,14.5,1.79,8.1,558,"Poor"
"1265",39.1,66.8,9.7,21.2,34.1,5.4,2.33,6.6,679,"Poor"
"1266",22.4,42.8,1.1,8.7,15.2,7,1.03,12.1,216,"Good"
"1267",27.2,46.3,14.8,18.8,19.7,7.3,1.05,10.8,496,"Good"
"1269",32.8,58.9,30.1,52,33.6,22.4,1.73,3.4,476,"Poor"
"1270",29.6,76.1,31,48.7,51.2,9.3,2.7,2.9,788,"Hazardous"
"1271",22.6,43.5,21,24.9,24.5,4.8,0.99,10,284,"Good"
"1273",21.8,73.4,12.1,12,26.2,6.6,1.04,25.8,224,"Good"
"1274",29.9,51.4,2.8,14.2,23.7,10,1.43,9,321,"Moderate"
"1275",22.8,67.9,66.8,79.8,28.3,4.3,1.17,5.9,397,"Moderate"
"1277",37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563,"Poor"
"1278",36.6,109.9,0.4,16.4,39.9,13,1.57,5.9,690,"Poor"
"1279",29.1,77.1,61.8,76.5,28.5,8.4,1.71,5.7,591,"Moderate"
"1280",29.7,72.2,9,10.4,19.6,5.6,1.09,10.6,409,"Good"
"1281",29.9,84.5,11.5,24,22.2,7.7,1.69,5.1,424,"Moderate"
"1282",22.8,52.5,10.8,16,15.5,9.5,1.07,11.2,489,"Good"
"1283",35.9,69.9,6.2,17.2,34,12.5,2.18,7,447,"Poor"
"1284",30.6,41.9,7,11.5,17,6.5,1.12,11.3,486,"Good"
"1285",35.2,85.5,0.5,12.4,30.8,12.2,1.91,6.9,318,"Moderate"
"1286",20.6,60.3,33.8,38.3,19.9,1.1,1.07,10.1,207,"Good"
"1287",22.5,40.7,26.5,31.8,26.4,7,1.18,10.9,452,"Good"
"1288",26.8,75.7,16.6,23.9,21,1.6,1.01,11.4,390,"Good"
"1289",36.4,111.6,35.8,67,43.1,8.3,2.32,8.3,813,"Hazardous"
"1290",25.1,42.6,12.3,20.1,25,6.3,1.08,13.7,455,"Good"
"1291",36.2,63.6,16.1,27.3,23.4,9.6,1.73,7.6,574,"Moderate"
"1292",35.4,78.9,3.9,15.7,33.5,15.8,1.97,4.9,695,"Poor"
"1293",40.3,66.1,11.8,21,43.4,15.8,2.02,6.2,824,"Poor"
"1294",22.7,89.6,19.5,35.4,27,10.8,1.37,6.3,632,"Moderate"
"1296",33.3,73.1,21.6,33.1,44.5,7.4,1.98,8.8,723,"Poor"
"1297",28,65.5,0.3,7.1,11.8,5.9,1.12,14.3,337,"Good"
"1298",29.1,76.2,2,7.3,20.3,5.4,0.98,17.9,404,"Good"
"1299",25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388,"Moderate"
"1300",42,77.9,9.5,31,37.6,17,2.38,12,484,"Hazardous"
"1302",29.8,85.5,6.2,15.4,34,4.5,1.34,11.3,405,"Moderate"
"1303",32,88.8,4.7,13.5,29.4,11.5,1.62,7.9,604,"Moderate"
"1304",34.1,79.1,165.5,190.7,45.3,9,1.95,5.3,846,"Hazardous"
"1305",42.8,116.1,10.3,31.6,36.9,15.3,2.34,4.1,755,"Hazardous"
"1306",35.5,86,75.7,86.8,19.8,12.1,1.79,8.6,612,"Moderate"
"1307",26.2,52.6,11.3,11.5,29.3,14.6,1.55,7.3,397,"Moderate"
"1308",26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327,"Good"
"1309",19.1,64.9,2.5,10.5,26,6,1.08,10.4,368,"Good"
"1310",34.1,72.9,2.2,15.6,33.6,4.9,1.43,5.6,526,"Moderate"
"1311",23.2,88.9,55.5,60.9,31.4,13.1,1.19,5.5,351,"Moderate"
"1312",27.6,79.3,14,40.2,37.6,10.6,2.24,3.6,608,"Poor"
"1315",31.5,53.9,2.5,10.8,29.9,12.7,1.58,5.3,395,"Moderate"
"1317",27.7,81.8,1.1,8.9,26.5,20.1,1.33,5.2,317,"Moderate"
"1318",24.6,52.4,4.1,18.1,27,14.7,1.4,8.8,356,"Moderate"
"1319",36.4,107.9,16.4,32,25.7,14.7,2.03,3.6,686,"Poor"
"1320",31.2,54.1,8.2,15,16.3,4.6,0.88,14.8,531,"Good"
"1321",37.6,94.4,19.5,27.3,50.3,6.2,2.47,3.7,889,"Hazardous"
"1322",27.4,76.3,10.4,14.1,10.3,5.4,0.91,10.3,328,"Good"
"1323",29,79.2,66.5,82.1,25.8,16.7,1.51,5.3,575,"Moderate"
"1324",26.5,41.4,6.8,11.8,26.6,6.4,0.88,12.4,383,"Good"
"1329",23.6,76.1,1.2,5.8,25.8,4.5,1.01,10.2,306,"Good"
"1330",26.7,48.8,19.7,23.8,31.8,5.3,1.27,5.3,538,"Moderate"
"1331",28.2,75.8,164.9,168.7,22.9,15.4,1.53,5.5,346,"Moderate"
"1332",31.6,105.9,0.4,15.7,38.4,11.9,1.34,6.5,421,"Poor"
"1334",29.4,56,24.3,41.9,30.5,5.3,1.64,12.5,375,"Moderate"
"1335",34.6,86.1,17.8,28.9,37.4,10.2,1.44,6.4,414,"Moderate"
"1336",30.5,62.3,13.3,18.8,19.7,5.2,1.01,11.4,495,"Good"
"1337",26.5,86.3,28,54.1,56.6,9.6,2.02,4.8,603,"Hazardous"
"1338",33.5,58.9,12.1,29.4,49.8,16.7,2.02,3.1,678,"Hazardous"
"1340",22.6,54.6,20.7,25.1,14.1,4,1.04,16.1,429,"Good"
"1342",24.6,71.2,21.1,41.7,27,17.7,1.93,3.4,528,"Poor"
"1343",42.2,83.4,40.3,49.7,36.8,15.8,1.39,3.5,766,"Poor"
"1344",28.3,82.7,11.7,19.7,28.6,14.5,1.27,5.2,430,"Moderate"
"1346",24.4,66.2,2.9,8.6,20.8,5.6,0.93,13.1,467,"Good"
"1348",21.3,48.3,2.4,5.8,15.5,6.3,1.08,10.5,296,"Good"
"1349",28.4,44.5,8.7,16.6,25,0.9,1.03,10.3,208,"Good"
"1351",31.3,73.8,33.8,46.6,31,22.8,1.92,4.6,681,"Poor"
"1353",30.9,60.3,56.3,68.7,22.8,10.5,1.4,7.4,426,"Moderate"
"1354",27.8,75.4,6,14.4,16.8,12.8,1.47,5.7,539,"Moderate"
"1357",23.5,60.1,0.4,7.2,17.2,6.1,1.02,10.1,384,"Good"
"1359",24,45.3,20.8,25.7,12.9,3.6,0.77,13.4,346,"Good"
"1360",31.8,80.1,5.6,7.6,24.4,16.6,1.56,10.4,679,"Moderate"
"1361",33.2,90.6,42.9,57.2,22.4,13,2.44,7.5,497,"Poor"
"1364",33.1,61,27.7,39.2,25.8,10.2,1.84,4.8,448,"Poor"
"1367",23.9,65.3,26.1,33.5,22.3,1.4,1.03,12.6,499,"Good"
"1368",38.6,72.2,48.8,67.7,36.2,28.6,2.21,3,860,"Hazardous"
"1369",49.8,79.2,70.1,82.7,50.3,20.6,1.91,5.2,617,"Poor"
"1371",26.9,53.5,20,28.4,29.5,5.3,1.36,8.5,313,"Moderate"
"1373",31,71.4,4.3,10.3,19.5,7.9,0.99,11.1,212,"Good"
"1374",32.8,73.6,18.6,39.5,21.4,12.2,2.21,4.4,590,"Poor"
"1375",22.4,57.3,5.8,9.6,23.6,4.3,1.08,11,595,"Good"
"1376",27.2,52.7,7.4,13.9,22.2,5.4,0.94,11.4,577,"Good"
"1377",26.6,64.1,3,11.3,26.8,3.7,0.95,11.1,550,"Good"
"1378",22.9,52.6,7.6,15.3,26.3,4.4,0.99,11.1,517,"Good"
"1381",26.2,80.8,10.2,16.3,13.9,3.2,0.86,12,328,"Good"
"1382",25.4,73.2,28.7,35.4,12.3,6,1.13,10.1,371,"Good"
"1383",33.4,59.9,33,41,25.4,10.8,1.64,7,406,"Moderate"
"1384",26.7,41.7,13.2,18.9,18.9,6.3,0.9,12.3,550,"Good"
"1385",34.5,71.4,29.5,52.6,37.9,17.1,2.09,3.9,744,"Poor"
"1387",35.6,75.3,48.1,63.6,43.7,29.2,3.03,2.9,587,"Hazardous"
"1388",27.1,79.9,31.7,50.9,47.6,5.2,2,6.8,447,"Poor"
"1389",26.7,85.4,4.9,11.9,26.3,19.4,2.22,5.2,421,"Poor"
"1390",39.2,111.2,25.7,46.9,45.6,25.2,2.25,4.5,692,"Hazardous"
"1391",38.1,96.6,59.5,79.6,40.5,24.4,2.41,4.9,863,"Hazardous"
"1392",26.5,78.9,6.3,18.5,34.9,11.6,1.95,5,555,"Moderate"
"1393",23.2,40.3,2.3,8.9,19.5,5.7,0.89,11.1,255,"Good"
"1396",41.9,90.1,26.6,50.7,46.3,18.2,2.38,5.1,531,"Hazardous"
"1398",26.4,76,16,32.9,31.8,10.6,2.15,4.8,548,"Poor"
"1399",32.6,71.9,48,60,30.8,6.8,2,5,388,"Moderate"
"1400",16.7,52.9,0,7.3,19.9,6.9,0.95,11,229,"Good"
"1401",21.5,59.9,4.1,5.5,15.1,7.1,0.97,11.8,365,"Good"
"1402",29.9,54.2,24.6,38.5,30.9,14.1,1.67,7,359,"Moderate"
"1403",30.6,47.9,14.4,18.8,16.1,2.4,1.05,12.4,386,"Good"
"1407",28.9,53.4,5.4,22,26.2,18.6,1.44,6.7,449,"Moderate"
"1408",34.1,62.3,130,137.4,33.6,7.1,2.04,4.1,442,"Poor"
"1409",28.7,67.4,11,15.2,19.2,8.3,1.13,10.3,481,"Good"
"1410",35.3,65.3,25.6,36.8,19.2,6,1.57,5.5,576,"Moderate"
"1411",27.9,48.1,1.3,14.6,32.5,0.9,1.55,7,449,"Moderate"
"1412",24.1,74.7,5.1,12.1,10.5,6.4,1.07,11,454,"Good"
"1413",31.3,100,11.1,35.6,39.1,35.8,1.95,2.8,754,"Hazardous"
"1414",30.4,78.9,17.5,30.8,26.1,7.9,1.39,6.3,608,"Moderate"
"1416",28.6,83.1,19.9,29.1,35.8,12.3,1.93,7.4,674,"Moderate"
"1417",25.8,62.6,11.7,16.7,10,6.6,1.01,15.8,413,"Good"
"1418",28.9,49.8,0.3,1.5,20.5,8.5,1.13,11.4,485,"Good"
"1419",42.9,104,52.5,80.9,22.9,13,2.42,4.4,680,"Poor"
"1420",44.2,101,2.6,10.2,30.3,24.3,1.91,3.5,408,"Poor"
"1421",21,93.8,6.3,19.4,37.5,13.6,2.18,3.9,669,"Poor"
"1422",31.3,84.7,35.5,42,17.9,11.1,1.23,5.6,509,"Moderate"
"1423",23,48.9,0.5,8.8,20.2,4.5,1.08,11.9,496,"Good"
"1424",38.5,95.4,66.9,92.3,46,15.7,2.63,4.1,654,"Hazardous"
"1426",40.3,73.4,11.3,29.9,31.4,25.3,2.11,3.9,380,"Poor"
"1427",41.2,85.9,3.4,21.2,39.6,8.4,2.27,3.5,689,"Poor"
"1428",29.1,41.5,0.9,4.8,18.7,3.4,1.02,12.6,337,"Good"
"1429",26.7,53.8,6.9,21.8,25.3,7.7,1.59,6.4,295,"Moderate"
"1430",29.7,69,18,26.3,28.9,9.8,1.58,5.4,674,"Moderate"
"1431",29.5,69.8,5.9,21.1,27.6,18.9,1.82,3.6,694,"Poor"
"1432",40,83.4,5,25.6,45,14.5,2.4,4.7,927,"Hazardous"
"1433",31.6,77.8,12.3,18.1,31.8,8.9,1.72,3.8,590,"Poor"
"1434",29.5,67.3,5.1,11.7,20.5,3.6,1.11,11.2,379,"Good"
"1437",26.4,51.1,0.7,3.6,27.8,9.6,1.09,10.9,281,"Good"
"1438",37,100.4,19.8,34.2,32.7,15.8,2.18,3.9,745,"Poor"
"1439",32.2,84.1,4.3,13.3,20.1,12.6,1.38,6.7,401,"Moderate"
"1440",22.9,50.1,7,13.7,12.1,8.4,1.09,13.6,589,"Good"
"1441",31.5,73.7,1.1,24.1,37.5,23.6,1.78,5.4,533,"Poor"
"1443",35.7,82,40.5,57.9,25.3,13.6,2.14,7.7,614,"Poor"
"1444",32.2,70,3.5,10.2,25.4,19.3,2.59,3.9,735,"Poor"
"1447",24.8,80.3,9.2,14,12.2,4.8,0.9,11.1,277,"Good"
"1449",27.2,42.8,12.5,15,14.6,3.3,1.1,10.9,284,"Good"
"1451",51.1,70,2.2,3.8,39.8,20.1,2.65,4.2,684,"Hazardous"
"1453",34.6,80.3,8.6,29.2,31.5,7.4,1.28,9.5,326,"Moderate"
"1454",34.6,71.6,21.7,37.5,30.7,16.4,2.18,4.1,754,"Poor"
"1455",27.4,78,5,21.9,33.8,16.5,1.57,5.6,468,"Moderate"
"1456",26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276,"Good"
"1457",33.2,72,4.1,16.3,24.8,6.6,2.02,5.9,662,"Poor"
"1459",16,64.1,13.4,18.9,24.4,2,1,12.2,487,"Good"
"1460",30.9,73.7,5.5,10.2,32.5,2.3,1.83,6.9,653,"Moderate"
"1461",35,80.2,11.9,24.4,30.4,14.1,1.71,4.5,617,"Poor"
"1462",31.2,86.3,39.3,52.8,16.8,9.9,1.73,5.9,571,"Moderate"
"1463",26,86.8,85.4,95.8,24.8,3.9,1.23,5.4,481,"Moderate"
"1466",30.9,89,7.3,30.9,37.3,6.8,2.21,4.4,660,"Poor"
"1467",45.5,67.6,51.4,64.5,36.9,9.4,1.93,4.2,467,"Poor"
"1468",23.2,86.5,3.1,21.4,22.3,15,1.56,7.3,601,"Moderate"
"1470",32.8,63.6,33.1,54.9,33,19.6,1.48,4.7,655,"Poor"
"1472",30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416,"Moderate"
"1473",26.6,66,2.2,3.7,27.7,11.7,1.63,6.6,395,"Moderate"
"1474",40.6,92.2,80.4,103.6,45.8,12.1,1.97,6.8,744,"Poor"
"1475",26,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,"Good"
